id1;id2;temps
142;143;240
143;144;240
148;149;180
154;156;240
154;155;240
155;156;240
169;170;180
175;177;240
175;176;240
176;177;240
191;192;180
196;197;180
198;199;180
202;203;180
206;208;300
206;207;300
206;209;300
207;208;300
207;209;300
208;209;300
212;214;300
212;213;300
212;215;300
213;214;300
213;215;300
214;215;300
219;220;180
221;222;180
223;225;240
223;224;240
224;225;240
227;228;180
231;232;180
238;239;180
242;244;240
242;243;240
243;244;240
245;246;180
247;248;180
278;279;180
281;282;180
284;285;180
292;293;180
295;296;180
298;299;180
303;304;180
309;310;180
311;313;300
311;312;300
311;314;300
311;315;300
312;313;300
312;314;300
312;315;300
313;314;300
313;315;300
314;315;300
325;327;240
325;326;240
326;327;240
339;341;240
339;340;240
340;341;240
342;344;240
342;343;240
343;344;240
346;347;180
354;355;180
366;367;180
376;377;120
377;378;180
378;379;180
379;380;180
381;382;120
382;383;120
383;384;120
384;385;120
386;387;120
387;388;180
388;389;180
389;390;120
390;391;180
391;392;120
392;393;120
394;395;120
395;396;180
396;397;180
398;397;120
378;67;30
378;68;30
378;69;30
378;70;30
378;71;30
382;67;30
382;68;30
382;69;30
382;70;30
382;71;30
395;67;30
395;68;30
395;69;30
395;70;30
395;71;30
378;382;30
382;395;30
378;395;30
379;396;30
212;380;30
213;380;30
214;380;30
215;380;30
381;394;30
392;145;30
383;388;30
397;397;30
391;137;30
391;138;30
